"","Site","Insect","Rodent","Bird","Mesomammal","Reptile","mesoPres"
"1","05",1,12,NA,NA,NA,"Not Detected"
"2","106",NA,NA,1,NA,NA,"Detected"
"3","112",35,NA,NA,NA,NA,"Not Detected"
"4","113",99,NA,4,NA,NA,"Not Detected"
"5","114",NA,NA,NA,6,NA,"Detected"
"6","116",NA,NA,NA,21,NA,"Detected"
"7","117",NA,1,NA,14,NA,"Detected"
"8","23",NA,30,NA,45,NA,"Detected"
"9","42",63,NA,NA,NA,NA,"Not Detected"
"10","53",3,45,NA,NA,NA,"Not Detected"
"11","54",NA,130,NA,NA,10,"Not Detected"
"12","67",NA,113,NA,15,NA,"Detected"
"13","91",NA,6,NA,62,NA,"Detected"
"14","93",14,NA,NA,NA,NA,"Detected"
"15","95",NA,27,NA,NA,NA,"Detected"
